Datetime,t2m,z,tp,g_1000,t_1000,g_500,t_500,g_200,t_200
2014-01-11 01:00:00,279.07043,37063.72,2.8964132e-06,0.008155001,297.18463,0.0038053417,267.35187,7.8145415e-05,219.42162
2014-01-11 07:00:00,279.14212,37063.72,0.0,0.0079951,297.2569,0.0033048652,268.2564,6.5286644e-05,218.35036
2014-01-11 13:00:00,285.96112,37063.72,0.00021562632,0.008604705,297.41806,0.0047650826,268.38702,6.759446e-05,218.47401
2014-01-11 19:00:00,280.18826,37063.72,0.00035723206,0.009014515,297.33054,0.0053499606,268.63712,7.550791e-05,219.18124
2014-01-12 01:00:00,279.03186,37063.72,0.00013066363,0.008605365,297.04846,0.005119504,268.0077,6.36382e-05,218.27533
2014-01-12 07:00:00,279.8771,37063.72,6.307848e-05,0.008148737,297.00958,0.0047327722,268.09384,6.396789e-05,218.28227
2014-01-12 13:00:00,284.94006,37063.72,0.0009020902,0.010599687,297.24298,0.00488674,268.15915,6.66054e-05,218.42122
2014-01-12 19:00:00,281.20685,37063.72,0.00022785645,0.009027373,297.20966,0.004870255,268.34116,7.8145415e-05,219.92459
2014-01-13 01:00:00,279.17825,37063.72,9.526219e-05,0.008256877,297.0304,0.004363185,267.65338,7.682666e-05,219.61615
2014-01-13 07:00:00,280.36343,37063.72,2.8964132e-06,0.008078183,296.8873,0.003489824,267.80902,5.473662e-05,219.35632
2014-01-13 13:00:00,285.91516,37063.72,0.0006111562,0.009233433,297.06097,0.0040397546,268.21613,5.9352256e-05,219.16595
2014-01-13 19:00:00,281.518,37063.72,0.00016928278,0.009479715,297.15268,0.004279113,268.87195,8.605793e-05,220.45259
2014-01-14 01:00:00,280.39774,37063.72,1.2870878e-06,0.008343587,297.05957,0.004052283,268.01324,3.7922524e-05,220.13858
2014-01-14 07:00:00,281.29016,37063.72,6.115064e-06,0.008013563,297.0457,0.0033467365,268.17166,2.6383437e-05,220.13858
2014-01-14 13:00:00,287.02258,37063.72,0.00022785645,0.009027043,297.15405,0.0047997003,268.64407,2.6713125e-05,220.21082
2014-01-14 19:00:00,281.66684,37063.72,0.00013935287,0.008944291,297.17352,0.0048524514,268.77747,9.495951e-05,220.5707
2014-01-15 01:00:00,279.67194,37063.72,0.00039810408,0.008903738,296.91925,0.0044739624,267.5853,7.682666e-05,220.54846
2014-01-15 07:00:00,281.08252,37063.72,7.724389e-06,0.008532831,296.9637,0.0038294094,267.9285,5.0120987e-05,220.21638
2014-01-15 13:00:00,287.56833,37063.72,0.0010720165,0.010518582,297.3472,0.004092176,268.50513,4.616473e-05,220.40396
2014-01-15 19:00:00,281.2957,37063.72,0.00017056987,0.008981545,297.32498,0.0043612067,268.3509,7.682666e-05,221.1737
2014-01-16 01:00:00,279.2542,37063.72,0.00012776721,0.008562504,297.06793,0.004063163,267.93683,8.572824e-05,220.74854
2014-01-16 07:00:00,280.8859,37063.72,2.8964132e-06,0.008213028,297.0332,0.003167383,268.2939,8.045323e-05,220.05104
2014-01-16 13:00:00,285.30942,37063.72,0.0004991591,0.010071186,297.10962,0.004458137,268.19388,5.2428804e-05,220.5568
2014-01-16 19:00:00,280.4945,37063.72,0.00029415265,0.008874065,297.18048,0.0044090124,267.89514,7.649697e-05,220.42062
2014-01-17 01:00:00,279.75644,37063.72,0.00039778277,0.008838458,296.98456,0.0041957,267.3616,4.6494417e-05,220.72908
2014-01-17 07:00:00,280.27402,37063.72,5.1492825e-06,0.008009936,297.11795,0.0033328896,268.5343,3.165845e-05,221.28903
2014-01-17 13:00:00,284.72815,37063.72,0.0014208807,0.010850254,297.16656,0.004062174,268.18832,5.506631e-05,220.62904
2014-01-17 19:00:00,280.0578,37063.72,0.0020700125,0.008800544,296.99707,0.0052263252,268.19666,7.781573e-05,219.64949
2014-01-18 01:00:00,278.25214,37063.72,3.153924e-05,0.00822226,296.89426,0.00430384,266.97952,7.748604e-05,219.52582
2014-01-18 07:00:00,279.92673,37063.72,0.00010877848,0.008066313,296.7803,0.004074702,266.95035,5.6055374e-05,219.13261
2014-01-18 13:00:00,283.75302,37063.72,0.0017491477,0.011240942,297.15686,0.0043335124,267.024,8.14423e-05,219.95795
2014-01-18 19:00:00,280.36652,37063.72,0.00015447848,0.008809116,297.13184,0.0041755885,267.71176,7.715635e-05,219.31325
2014-01-19 01:00:00,277.60718,37063.72,2.059713e-05,0.007770578,296.90952,0.0040638223,266.59326,7.122103e-05,219.77592
2014-01-19 07:00:00,278.57492,37063.72,0.0,0.007728377,296.8234,0.0031017736,267.37134,5.671475e-05,219.63142
2014-01-19 13:00:00,285.0932,37063.72,9.9123456e-05,0.010589796,297.15546,0.0038152328,267.38245,8.14423e-05,219.63977
2014-01-19 19:00:00,280.73218,37063.72,0.000119720586,0.009213321,297.11795,0.00414163,267.4936,7.715635e-05,219.5953
2014-01-20 01:00:00,279.35526,37063.72,2.7999282e-05,0.00785465,296.9248,0.0041920734,267.07956,6.0011633e-05,217.66953
2014-01-20 07:00:00,280.71564,37063.72,3.222376e-07,0.0077765123,296.9026,0.004172951,266.9656,3.165845e-05,219.77592
2014-01-20 13:00:00,284.26633,37063.72,0.000633684,0.012354651,297.23328,0.0039316146,267.40747,5.473662e-05,220.30948
2014-01-20 19:00:00,280.10986,37063.72,1.3838522e-05,0.008260833,297.25272,0.0038864464,267.8118,7.946417e-05,220.39978
2014-01-21 01:00:00,278.03287,37063.72,0.0,0.0074877,296.93314,0.0039157895,266.92392,4.4845976e-05,220.20387
2014-01-21 07:00:00,279.226,37063.72,0.0,0.0068484223,297.1221,0.0034776255,268.048,7.484853e-05,219.61058
2014-01-21 13:00:00,285.9691,37063.72,0.00031668134,0.009123974,297.0957,0.003739073,267.67007,5.671475e-05,219.65504
2014-01-21 19:00:00,281.10947,37063.72,2.8642826e-05,0.00881472,297.3055,0.0033744308,268.1758,8.671731e-05,220.10661
2014-01-22 01:00:00,278.04205,37063.72,0.0,0.007969713,297.2291,0.0032102433,267.76038,7.8145415e-05,219.31464
2014-01-22 07:00:00,278.9161,37063.72,0.0,0.0073268088,297.34302,0.0031373808,267.7951,7.4518844e-05,219.3966
2014-01-22 13:00:00,284.9364,37063.72,0.000396817,0.007586938,297.2305,0.0035359813,268.36896,8.96845e-05,219.65643
2014-01-22 19:00:00,282.10907,37063.72,2.4459325e-05,0.008681853,297.44308,0.0022992967,267.93546,8.9025125e-05,220.38173
2014-01-23 01:00:00,278.69806,37063.72,1.931563e-06,0.0077010123,297.161,0.002138406,267.62283,8.309074e-05,220.30948
2014-01-23 07:00:00,279.06555,37063.72,0.0,0.0076779337,297.05957,0.0022785263,267.53528,7.023197e-05,218.97977
2014-01-23 13:00:00,284.61423,37063.72,0.0014427658,0.009403225,297.14713,0.0046374905,267.3394,9.298138e-05,220.90416
2014-01-23 19:00:00,279.78525,37063.72,0.0003565885,0.008579978,297.06516,0.0047456305,268.02298,8.7376684e-05,220.62488
2014-01-24 01:00:00,278.6901,37063.72,0.00014257059,0.008019498,296.83588,0.004737718,267.3616,6.627571e-05,219.73146
2014-01-24 07:00:00,280.6801,37063.72,1.8987805e-05,0.007947953,296.97623,0.004323292,267.55197,3.7592836e-05,219.34659
2014-01-24 13:00:00,285.3186,37063.72,0.00070963614,0.011015431,297.05124,0.0044782483,267.82846,6.1000697e-05,220.00102
2014-01-24 19:00:00,280.0578,37063.72,0.00013195071,0.008689106,297.19992,0.0038099573,268.57043,7.682666e-05,220.11774
2014-01-25 01:00:00,278.3863,37063.72,0.0,0.007979934,297.07904,0.003513562,268.47177,7.649697e-05,219.42856
