Datetime,t2m,z,tp,g_1000,t_1000,g_500,t_500,g_200,t_200,Temp
2014-01-01,280.5652575,37063.72,0.0002316376175,0.0080558462,297.092935,0.0031476012,268.4926125,4.8307935e-05,221.7784625,16.271666666666665
2014-01-02,281.4322675,37063.72,0.000198167057,0.009148783125,297.148165,0.00409135165,268.6082775,6.0588820999999996e-05,221.77742,16.066666666666666
2014-01-03,281.318335,37063.72,0.000204362441725,0.00920367775,297.223885,0.0040242588,268.6617725,7.723830575e-05,220.9111075,14.395
2014-01-04,281.7510675,37063.72,0.0003349448035,0.00951045825,297.1089125,0.00457369475,268.68435999999997,7.855729125e-05,220.827385,15.905833333333332
2014-01-05,281.324615,37063.72,0.0006524308075,0.00970291775,296.9598925,0.0049180608,268.6176625,7.96290125e-05,219.421275,17.00125
2014-01-06,281.67282,37063.72,0.0006953950425,0.0091893355,297.1328825,0.004594383049999999,267.9941525,7.22929825e-05,219.8651975,15.7
2014-01-07,280.82786999999996,37063.72,0.00022825832075000003,0.008265037175,297.324975,0.00370387815,267.3067225,7.5920019e-05,219.6019,15.670833333333333
2014-01-08,278.9534675,37063.72,0.00017692638,0.00781187205,297.1193325,0.004370520475,267.4533225,6.24847595e-05,219.6404575,16.241666666666667
2014-01-09,279.74649750000003,37063.72,0.0001618003,0.00792273175,297.0512425,0.004300295675,267.93753000000004,7.87223705e-05,219.623785,16.7375
2014-01-10,280.50677,37063.72,0.0002054083141,0.00861047475,297.027635,0.004368047875,267.4946375,6.701774099999999e-05,218.6952925,17.403333333333332
2014-01-11,281.0904825,37063.72,0.0001439386983,0.008442330250000001,297.2975325,0.004306312525,268.1581025,7.163360725e-05,218.8568075,15.979166666666664
2014-01-12,281.2639675,37063.72,0.00033092219,0.0090952905,297.12766999999997,0.0049023178,268.1504625,6.808922625000001e-05,218.7258525,17.7625
2014-01-13,281.74370999999996,37063.72,0.00021964939580000002,0.008762052,297.03283749999997,0.00404296915,268.13762,6.92433665e-05,219.6477525,17.7125
2014-01-14,282.59433,37063.72,9.365286795e-05,0.008582121,297.10821,0.0042627928,268.40161,4.6494649e-05,220.26467,17.987499999999997
2014-01-15,282.4046225,37063.72,0.00041210370974999996,0.009234174,297.1387825,0.004189188625,268.0924575,6.248475925e-05,220.585625,17.366666666666667
2014-01-16,281.486005,37063.72,0.0002309938433,0.00893019575,297.0978075,0.00402442385,268.0799375,7.377681099999999e-05,220.44425,16.429166666666667
2014-01-17,281.2041025,37063.72,0.000973456313125,0.009124798,297.066535,0.004204272199999999,268.07022,5.2758726749999995e-05,220.57416,16.8875
2014-01-18,280.57460249999997,37063.72,0.0005109859749999999,0.00908465775,296.990815,0.004221910725,267.1664075,7.3035016e-05,219.48240750000002,15.666666666666668
2014-01-19,280.50187000000005,37063.72,5.9860293e-05,0.008825518000000001,297.0015825,0.003780614675,267.2101625,7.16336075e-05,219.6606025,16.504166666666666
2014-01-20,281.11177250000003,37063.72,0.0001689610104,0.009061661575,297.07835,0.00404577135,267.3161075,5.6467718249999996e-05,219.5386775,15.75
2014-01-21,281.08436,37063.72,8.633104150000001e-05,0.008068704075,297.11411,0.0036267297,267.7044475,6.57816415e-05,219.894025,15.645833333333332
2014-01-22,281.000905,37063.72,0.00010531908125,0.007891328199999999,297.311425,0.003045725525,267.964975,8.2843471e-05,219.68735,15.15
2014-01-23,280.5407725,37063.72,0.00045032146575000004,0.00834053725,297.108215,0.003450013325,267.6301225,8.34201935e-05,220.20457249999998,15.325
2014-01-24,281.18665,37063.72,0.00025078631124999997,0.008917997,297.0158175,0.0043373039000000006,267.828115,6.042397575e-05,219.7992025,16.695833333333333
2014-01-25,280.7088925,37063.72,0.0003078307566,0.00825036575,297.14573,0.003277500725,267.8270675,5.8858188749999996e-05,219.6804,17.166666666666668
2014-01-26,280.7202225,37063.72,2.79187225e-05,0.007540121275,297.3760325,0.00201699625,267.982335,7.979362275e-05,219.817265,15.1625
2014-01-27,280.8964775,37063.72,6.03434165e-05,0.0075781186,297.3058775,0.001125667,267.7825975,7.888721225e-05,219.8520025,15.183333333333334
2014-01-28,281.49963249999996,37063.72,0.00010877847845,0.008011996625,297.238135,0.002182997325,267.74683749999997,6.042397525e-05,219.4438475,16.049999999999997
2014-01-29,280.6637075,37063.72,7.41013775e-05,0.007750548875,297.24438250000003,0.0020427124,268.869505,6.297905824999999e-05,219.6223925,15.908333333333333
2014-01-30,281.600545,37063.72,0.00020098336905,0.008517913,297.3353975,0.0032305193499999997,268.6030675,8.482159875e-05,219.976005,15.804166666666667
2014-01-31,281.400575,37063.72,0.00053472117675,0.0085301115,297.2482,0.004693786175,268.1977075,7.163360824999999e-05,220.06354,15.891666666666666
2014-02-01,281.6959475,37063.72,0.00047107903000000005,0.00967786125,297.272525,0.00458358575,268.2480675,6.825430399999999e-05,219.2583575,16.054166666666667
2014-02-02,281.0888,37063.72,0.0005370543865,0.00917697225,297.1662225,0.004443547775,268.1751325,7.229298125e-05,219.9895575,16.1875
2014-02-03,281.3077725,37063.72,9.6066389575e-05,0.0092780235,297.12871,0.004057723075,268.10357750000003,7.286993725e-05,219.8586,14.702499999999999
2014-02-04,280.374935,37063.72,0.000180225120375,0.00816423275,297.31142,0.002944426875,268.4537075,7.872237e-05,219.7734925,16.781666666666666
2014-02-05,279.79931999999997,37063.72,0.00034114020000000004,0.008454364125,297.34962,0.0030140749999999997,268.09871,7.3611968e-05,219.6477525,17.02125
